GESLACHT;LEEFTIJDSKLASSE;GEMEENTENAAM;AANTAL_BSN;AANTAL_VERZEKERDEJAREN;KOSTEN_MEDISCH_SPECIALISTISCHE_ZORG;KOSTEN_FARMACIE;KOSTEN_TWEEDELIJNS_GGZ;KOSTEN_HUISARTS_INSCHRIJFTARIEF;KOSTEN_HUISARTS_CONSULT;KOSTEN_HUISARTS_OVERIG;KOSTEN_HULPMIDDELEN;KOSTEN_MONDZORG;KOSTEN_PARAMEDISCHE_ZORG_FYSIOTHERAPIE;KOSTEN_PARAMEDISCHE_ZORG_OVERIG;KOSTEN_ZIEKENVERVOER_ZITTEND;KOSTEN_ZIEKENVERVOER_LIGGEND;KOSTEN_KRAAMZORG;KOSTEN_VERLOSKUNDIGE_ZORG;KOSTEN_GENERALISTISCHE_BASIS_GGZ;KOSTEN_GRENSOVERSCHRIJDENDE_ZORG;KOSTEN_EERSTELIJNS_ONDERSTEUNING;KOSTEN_GERIATRISCHE_REVALIDATIEZORG;KOSTEN_OVERIG
V;30 t/m 34 jaar;LISSE;570;563.95;549405.08;65017.88;75352.56;32482.92;20130.21;26486.91;16106.94;4272.30;3535.45;1410.70;0.00;10091.06;147611.04;103223.28;18674.12;17118.25;9.00;0.00;2568.42
V;30 t/m 34 jaar;LITTENSERADIEL;266;265.33;303950.89;93484.63;53801.39;15493.12;11089.63;11435.93;34308.67;1359.34;1445.50;514.59;816.64;8165.03;98759.55;65056.75;7799.79;4029.39;321.75;0.00;73.46
V;30 t/m 34 jaar;LOCHEM;577;574.32;683156.49;64413.20;206340.86;33017.06;19199.80;27742.42;13083.12;0.00;8092.27;4033.75;5465.60;8308.90;187490.55;137458.74;15867.77;7584.56;14.40;0.00;888.19
V;30 t/m 34 jaar;LOON OP ZAND;587;580.72;830050.96;89687.31;102123.15;33673.29;27998.43;22086.60;29597.85;1953.89;5925.01;1782.35;3203.70;9168.20;152211.69;107671.04;14016.84;7015.17;12.15;0.00;518.49
V;30 t/m 34 jaar;LOPIK;329;328.99;353186.47;39006.87;43161.48;19093.43;13376.85;14558.21;25492.75;693.48;1052.93;1365.93;5746.83;2905.41;94921.15;54392.48;5424.39;1085.77;3.15;0.00;680.65
V;30 t/m 34 jaar;LOPPERSUM;247;246.14;294013.72;38648.41;34986.44;14127.87;11145.56;10661.22;8572.81;1594.66;1732.50;470.75;1309.11;4880.59;79336.82;47732.23;5549.71;140.60;9.00;0.00;981.93
V;30 t/m 34 jaar;LOSSER;481;478.44;604509.16;56493.17;68745.30;26872.93;17779.21;23719.17;6710.71;1190.49;482.25;1736.95;0.00;6640.60;118824.43;66454.51;6384.55;4356.32;3.60;0.00;640.28
V;30 t/m 34 jaar;MAASDRIEL;641;631.81;943378.07;92801.65;174355.59;35692.23;27399.99;24493.37;18955.47;5642.80;8103.05;1143.89;9307.29;9430.55;185278.40;108473.39;10014.52;2535.64;3.60;0.00;652.58
V;30 t/m 34 jaar;MAASGOUW;522;513.14;704194.68;66129.43;102143.39;28747.93;22449.25;19578.95;11303.43;5324.18;13280.96;1662.93;1140.76;5919.16;129494.65;78643.26;18350.67;21657.26;3.60;0.00;435.23
V;30 t/m 34 jaar;MAASSLUIS;955;946.22;1185251.60;106612.53;143712.33;54029.47;37934.67;41940.83;65923.58;4064.64;8953.20;4590.64;22.13;19793.35;226491.36;146731.73;19349.92;5132.24;14.40;0.00;805.43
